project                 , domain      , t0          , ts         , o0       , ohcov0                   , ohcov1                , dyncov                   , ch      , vars , s1 , s2                      , s3                      , s4                      , s5                      , t1         , o1         , t2         , o2         , t3         , o3         , t4         , o4         , t5         , o5
InductionVariable-flt   , LNT (MSB)   , 3.01469     , 2.26436    , 0.046889 , 1.555350633066749815     , 27.271981571356340137 , 76.297568469044925856    , 94843   , 7    , 1  , 1.0052761776299547      , 1.0163367849034208      , 1.0123666969267615      , 1.0109799245029298      , 5.425033   , 1.479514   , 5.367743   , 1.442932   , 5.300731   , 1.418633   , 5.330753   , 1.433431   , 5.40607    , 1.503402
CrossingThresholds-dbl  , LNT (MSB)   , 3.495724    , 2.174366   , 0.050453 , 1.443277558525787505     , 24.773053268622403867 , 63.111610088146912101    , 113915  , 6    , 1  , 1.008327560711296       , -1.0229511275275051     , 1.0030957339809996      , -1.0024363393753199     , 5.903588   , 1.462499   , 5.860335   , 1.455924   , 6.034846   , 1.491829   , 5.885609   , 1.458226   , 5.927847   , 1.475938
ControlLoops-dbl        , LNT (MSB)   , 3.528155    , 2.090458   , 0.03704  , 1.049840497370438657     , 20.211706138713952798 , 59.879379510557515292    , 73791   , 10   , 1  , 1.0029594036679243      , -1.0031067453389612     , 1.0016022053206866      , -1.00097718834942874191 , 5.444528   , 1.100432   , 5.41742    , 1.086142   , 5.474152   , 1.11656    , 5.425599   , 1.088452   , 5.455331   , 1.10699
CrossingThresholds-flt  , LNT (MSB)   , 2.572673    , 1.409323   , 0.04872  , 1.893750196779769524     , 28.056381118881118881 , 55.837925666603141976    , 113915  , 6    , 1  , -1.0058539958546852     , -1.0067472961290409     , -1.00034205318015690072 , -1.0010742318793036     , 5.2624     , 1.476439   , 5.265763   , 1.457639   , 5.259744   , 1.448238   , 5.24379    , 1.456534   , 5.254842   , 1.464814
Symbolics-dbl           , LNT (MSB)   , 3.228354    , 1.699109   , 0.05458  , 1.690644830151835889     , 26.767305770663742718 , 53.535916546042660883    , 109077  , 3    , 1  , 1.00132086381447503601  , 1.0292275812297357      , 1.0279497830335553      , -1.0274630925702554     , 5.296947   , 1.41785    , 5.271435   , 1.397455   , 5.159722   , 1.390782   , 5.184736   , 1.411111   , 5.391565   , 1.405936
Symbolics-flt           , LNT (MSB)   , 1.569578    , 0.806119   , 0.048834 , 3.111282140804725856     , 33.68736063697230524  , 53.008198618570910028    , 109077  , 3    , 1  , 1.0227307383811182      , 1.0178292844308469      , 1.0181301914195728      , 1.013271481837355       , 4.045639   , 1.362869   , 3.976946   , 1.353802   , 4.015519   , 1.379743   , 4.006486   , 1.371489   , 4.027017   , 1.379385
ControlLoops-flt        , LNT (MSB)   , 2.771354    , 1.427467   , 0.035915 , 1.295936931911260705     , 21.76014789919984222  , 52.184201512079048372    , 73791   , 10   , 1  , -1.00055126159972806125 , -1.0013164076076647     , 1.0027058099340858      , 1.00127729712710126213  , 5.019635   , 1.09228    , 5.018846   , 1.089326   , 5.034958   , 1.102433   , 5.005566   , 1.088809   , 5.007345   , 1.085
telecomm-gsm            , LNT (MSB)   , 1.953716    , 0.802647   , 0.397541 , 20.347942075511486828    , 99.538675631857907284 , 51.578196539592269507    , 251693  , 1857 , 1  , 1.003919655040001       , 1.0316413594539226      , 1.0218326950498139      , 1.0205894946362237      , 286.757668 , 285.434785 , 286.963562 , 285.645844 , 286.528899 , 285.24659  , 287.185977 , 285.891359 , 286.758019 , 285.461824
GlobalDataFlow-flt      , LNT (MSB)   , 5.418937    , 2.516732   , 0.52816  , 9.746560995265307569     , 62.908189228750262392 , 51.458735493358212816    , 1462795 , 6    , 1  , -1.00008006736791265977 , -1.0159313724178408     , -1.0037809352532232     , -1.0254526455574974     , 25.186511  , 15.844378  , 25.193526  , 15.850645  , 25.606743  , 16.115777  , 25.480479  , 16.103024  , 25.519467  , 15.939552
CrystalMk               , LNT (MSB)   , 24.00854    , 9.44718    , 5.231634 , 21.790721135062773496    , 61.647963030038041219 , 50.312761857571210081    , 5999997 , 5    , 1  , 1.0116292059483733      , 1.0044123294130962      ,                         ,                         , 113.479803 , 69.957987  , 114.61181  , 71.5903    , 113.883943 , 70.553316  ,            ,            ,            ,
security-sha            , LNT (MSB)   , 0.709588    , 0.267183   , 0.169286 , 23.856942338370998382    , 74.782104663919891292 , 49.450677584017827067    , 101486  , 2    , 1  , 1.00080935037730010236  , -1.01169798020641205    , -1.0302914980982674     , -1.01107740343760608727 , 1.833908   , 1.371435   , 1.787653   , 1.325554   , 1.816763   , 1.34888    , 1.850175   , 1.373693   , 1.837929   , 1.370333
GlobalDataFlow-dbl      , LNT (MSB)   , 10.340736   , 3.661542   , 0.541662 , 5.238137788258011809     , 54.62187375072853995  , 37.366204194396327653    , 1462795 , 6    , 1  , 1.0048528130515843      , -1.0025581471964156     , 1.0021505053612564      , -1.0005995166130568     , 29.432154  , 16.076394  , 29.535153  , 16.243893  , 29.649664  , 16.259738  , 29.315184  , 15.988084  , 29.655876  , 16.292109
office-stringsearch     , LNT (MSB)   , 0.010337    , 0.003154   , 0.001861 , 18.003289155460965464    , 79.891974240011079565 , 37.210948560641812176    , 1331    , 1    , 1  , 1.24189547515182619109  , 1.21620036857094990786  , 1.00220887692413888314  , 1.14530251636822592096  , 0.072205   , 0.057686   , 0.058612   , 0.046921   , 0.059212   , 0.047274   , 0.071973   , 0.057486   , 0.064292   , 0.051615
IndirectAddressing-flt  , LNT (MSB)   , 2.765302    , 0.482601   , 0.006111 , 0.220988521326061313     , 6.44034855780220792   , 17.490670272554527758    , 12499   , 1    , 1  , 1.0024787287773418      , -1.0011596314791586     , 1.00174839634683403198  , 1.00029193084272950619  , 3.171583   , 0.204261   , 3.155666   , 0.195681   , 3.171569   , 0.200806   , 3.163675   , 0.201532   , 3.165278   , 0.198822
IndirectAddressing-dbl  , LNT (MSB)   , 3.479237    , 0.516291   , 0.006441 , 0.185126796478653222     , 5.173990264353623232  , 14.866724103575332383    , 12499   , 1    , 1  , 1.00065711200641026167  , -1.00038301805652646638 , 1.0056603934396843      , -1.00047432999862485309 , 3.857371   , 0.19958    , 3.853919   , 0.19853    , 3.85902    , 0.199828   , 3.835554   , 0.198351   , 3.860756   , 0.20123
Reductions-dbl          , LNT (MSB)   , 3.42751     , 0.320122   , 0.004737 , 0.138205286053140618     , 3.149952550779803773  , 9.352709046144748717     , 5008    , 2    , 1  , -1.0009235228709152     , 1.0035482370575858      , 1.0055069657150776      , -1.0010510433664038     , 3.611229   , 0.113752   , 3.614243   , 0.113536   , 3.599312   , 0.114201   , 3.588481   , 0.110159   , 3.616606   , 0.115453
Reductions-flt          , LNT (MSB)   , 6.171629    , 0.273733   , 0.004449 , 0.072087936588540886     , 1.793866094533118652  , 4.438544034712786071     , 5008    , 2    , 1  , 1.00026348672400103464  , 1.0025670923334195      , 1.00042715000848669038  , 1.00068812425631566429  , 6.331855   , 0.113585   , 6.327065   , 0.110433   , 6.316416   , 0.114068   , 6.328122   , 0.112507   , 6.327008   , 0.113014
